age,gender,education,family,salary,working time,contract time,autonomy,intensity,interaction,meaningful,Declared satisfaction
39,W,Tertiary education,Other type of household without children,1435,35.0,long term,11,12,4,6,3
62,W,Tertiary education,Couple with children,1931,35.0,long term,8,4,4,10,2
32,M,Tertiary education,Single adult without children,736,35.0,long term,10,5,5,9,2
45,M,Tertiary education,Other type of household without children,2190,45.0,long term,12,14,3,8,2
34,M,Primary or lower secondary education,Single adult without children,1505,40.0,long term,6,13,5,8,4
15,M,No education completed,Single adult with children,942,40.0,long term,10,10,4,6,2
71,M,Primary or lower secondary education,Other type of household without children,752,35.0,long term,11,12,5,9,2
30,W,Tertiary education,Other type of household with children,1238,35.0,long term,13,10,4,8,2
64,W,No education completed,Other type of household without children,2043,35.0,long term,15,14,5,10,1
55,W,Upper secondary or post-secondary education,Couple with children,1810,36.0,long term,13,11,4,9,1
63,M,Tertiary education,Other type of household with children,1153,21.0,long term,6,2,4,10,2
34,W,Tertiary education,Other type of household with children,1847,35.0,long term,13,11,2,9,2
32,M,Tertiary education,Other type of household with children,1590,40.0,long term,11,4,3,9,2
19,W,Primary or lower secondary education,Single adult without children,1617,17.0,long term,10,13,4,10,2
65,M,Upper secondary or post-secondary education,Single adult with children,2824,48.0,long term,9,6,4,8,2
73,M,Tertiary education,Single adult with children,2005,35.0,long term,11,9,5,10,2
71,M,Upper secondary or post-secondary education,Single adult with children,2532,50.0,long term,12,9,5,8,1
33,M,Tertiary education,Couple with children,1923,43.0,long term,14,2,5,10,2
29,M,Tertiary education,Couple with children,2157,35.0,long term,11,10,3,8,3
40,M,Tertiary education,Other type of household with children,1578,35.0,long term,14,10,3,9,2
47,W,Upper secondary or post-secondary education,Couple with children,2200,50.0,long term,8,6,3,8,3
46,W,Upper secondary or post-secondary education,Other type of household without children,2012,7.0,long term,8,12,4,10,2
39,W,Primary or lower secondary education,Couple with children,2090,42.0,long term,6,11,5,8,2
27,W,No education completed,Single adult without children,641,39.0,long term,7,14,5,10,1
43,M,Tertiary education,Couple without children,1103,35.0,long term,3,4,4,7,3
37,W,Tertiary education,Couple without children,2703,47.0,long term,14,3,5,9,1
41,W,Upper secondary or post-secondary education,Other type of household without children,1793,37.0,long term,3,2,3,10,3
55,M,Primary or lower secondary education,Couple with children,5154,30.0,long term,11,9,5,9,2
62,M,Tertiary education,Couple without children,2224,35.0,long term,6,8,4,9,2
32,W,Upper secondary or post-secondary education,Other type of household without children,2298,24.0,long term,5,14,1,9,2
45,M,Upper secondary or post-secondary education,Couple without children,2603,55.0,long term,11,11,3,9,1
31,M,Upper secondary or post-secondary education,Other type of household with children,964,42.0,long term,15,2,5,10,2
39,M,Upper secondary or post-secondary education,Couple with children,777,45.0,long term,10,13,3,10,2
29,W,Tertiary education,Single adult without children,1045,37.0,long term,9,9,4,8,1
54,W,Tertiary education,Couple with children,622,40.0,long term,13,11,5,10,2
67,M,Primary or lower secondary education,Single adult without children,3505,35.0,long term,9,11,4,8,2
35,W,Tertiary education,Couple with children,3222,38.0,long term,11,12,4,9,2
58,M,Tertiary education,Couple with children,4349,18.0,short term,7,4,4,8,1
72,M,Upper secondary or post-secondary education,Couple with children,4422,39.0,long term,11,10,3,8,2
56,W,No education completed,Other type of household with children,2291,24.0,long term,9,13,5,10,3
33,M,Upper secondary or post-secondary education,Couple with children,3384,33.0,long term,10,14,4,9,1
41,M,Tertiary education,Couple with children,4033,42.0,long term,11,8,4,9,1
48,M,Upper secondary or post-secondary education,Single adult with children,5036,47.0,long term,14,3,5,9,1
27,W,Tertiary education,Single adult without children,915,39.0,long term,3,3,2,9,4
60,M,Upper secondary or post-secondary education,Couple with children,2355,38.0,long term,7,6,5,9,2
71,W,Tertiary education,Other type of household without children,4871,35.0,long term,10,3,4,8,2
63,M,Upper secondary or post-secondary education,Other type of household without children,1409,50.0,long term,9,4,4,7,2
73,M,Tertiary education,Other type of household with children,6773,35.0,long term,5,2,5,9,2
61,M,Upper secondary or post-secondary education,Couple without children,4651,60.0,long term,9,12,3,6,4
50,W,Upper secondary or post-secondary education,Single adult without children,1943,35.0,long term,10,5,4,10,1
38,M,Tertiary education,Couple without children,1519,8.0,long term,7,5,5,10,2
35,W,Tertiary education,Couple without children,1675,35.0,long term,11,12,3,10,1
47,M,No education completed,Single adult without children,1786,37.0,long term,6,11,5,10,1
30,M,Upper secondary or post-secondary education,Other type of household with children,2199,35.0,long term,9,6,3,6,2
41,M,Tertiary education,Single adult with children,2504,38.0,long term,5,8,3,8,3
49,W,Tertiary education,Couple without children,2721,40.0,long term,13,10,5,8,2
72,W,Primary or lower secondary education,Couple without children,1228,35.0,long term,5,2,4,10,1
15,M,Tertiary education,Couple without children,447,37.0,long term,10,14,4,8,2
45,M,Tertiary education,Single adult without children,796,39.0,long term,7,8,3,8,3
30,M,Upper secondary or post-secondary education,Single adult without children,1733,35.0,long term,10,8,5,10,2
69,M,Upper secondary or post-secondary education,Single adult without children,3908,39.0,long term,11,9,3,8,3
28,M,Tertiary education,Single adult without children,2373,35.0,long term,10,11,4,8,2
39,W,Upper secondary or post-secondary education,Couple with children,1695,21.0,long term,12,14,4,8,2
41,M,Primary or lower secondary education,Couple without children,3380,16.0,long term,12,8,5,10,1
50,M,Tertiary education,Single adult without children,1483,35.0,long term,13,14,5,10,2
32,W,Tertiary education,Single adult without children,1590,35.0,long term,11,4,2,10,2
50,W,No education completed,Couple with children,3220,42.0,long term,13,14,4,9,2
45,W,No education completed,Couple with children,2140,40.0,long term,13,14,5,10,1
44,M,Tertiary education,Other type of household without children,1060,39.0,long term,6,2,5,10,3
21,M,Tertiary education,Other type of household with children,1041,40.0,short term,11,12,4,8,2
40,M,Tertiary education,Single adult without children,2636,35.0,short term,12,9,4,9,2
40,M,Tertiary education,Other type of household with children,1618,42.0,long term,9,11,5,10,2
31,W,No education completed,Single adult with children,759,39.0,long term,13,8,4,8,2
37,W,Tertiary education,Other type of household without children,2860,7.0,long term,9,4,2,9,3
38,M,Primary or lower secondary education,Single adult without children,1262,39.0,short term,9,8,4,9,2
34,M,Tertiary education,Single adult without children,2877,35.0,long term,9,11,3,8,3
63,W,Upper secondary or post-secondary education,Other type of household with children,2358,39.0,long term,9,14,2,10,2
48,W,Tertiary education,Single adult with children,1102,35.0,long term,3,14,5,8,3
37,W,Tertiary education,Couple without children,1851,35.0,long term,11,6,4,8,2
35,W,Tertiary education,Couple with children,1456,38.0,long term,9,7,3,10,2
25,M,Tertiary education,Single adult with children,1189,44.0,long term,11,7,5,8,1
40,M,Upper secondary or post-secondary education,Couple with children,3880,35.0,long term,12,4,5,9,1
70,M,Tertiary education,Single adult without children,3829,28.0,long term,8,8,4,9,8
17,W,Upper secondary or post-secondary education,Other type of household with children,1859,35.0,long term,8,14,4,8,2
48,M,Upper secondary or post-secondary education,Other type of household with children,3486,35.0,long term,5,6,3,7,2
30,M,No education completed,Single adult without children,2076,37.0,long term,9,8,4,7,2
42,W,Tertiary education,Single adult with children,1284,35.0,long term,11,12,5,8,2
64,W,No education completed,Other type of household without children,1943,25.0,long term,6,13,4,7,3
64,M,Tertiary education,Single adult without children,5404,50.0,long term,7,2,2,7,3
25,M,Tertiary education,Other type of household with children,2029,37.0,long term,6,11,5,10,1
73,M,Tertiary education,Other type of household without children,3442,36.0,long term,5,2,3,6,4
59,M,No education completed,Couple without children,2242,35.0,long term,12,11,5,10,2
47,W,Tertiary education,Couple without children,1782,45.0,long term,12,12,4,8,2
34,W,Upper secondary or post-secondary education,Other type of household without children,2382,48.0,short term,9,6,5,10,1
42,M,Tertiary education,Couple without children,2940,35.0,long term,8,14,5,9,1
37,M,Tertiary education,Couple with children,774,38.0,long term,9,7,3,10,2
18,W,Tertiary education,Other type of household without children,1696,35.0,long term,5,2,4,10,1
33,M,Tertiary education,Other type of household without children,2033,35.0,long term,15,14,5,10,1
32,M,No education completed,Other type of household without children,1093,40.0,long term,14,11,5,10,2
66,W,Tertiary education,Other type of household without children,1538,18.0,long term,11,14,3,9,3
20,W,Upper secondary or post-secondary education,Couple without children,1675,45.0,long term,9,3,4,9,2
36,M,Upper secondary or post-secondary education,Couple without children,2519,35.0,long term,12,9,4,10,2
29,W,No education completed,Couple without children,2639,35.0,long term,7,3,3,5,3
40,W,No education completed,Other type of household without children,1715,38.0,short term,5,9,1,10,3
27,M,Upper secondary or post-secondary education,Other type of household without children,996,28.0,long term,10,11,4,7,2
48,M,Tertiary education,Couple with children,1107,8.0,long term,11,12,3,8,2
23,M,No education completed,Other type of household without children,1769,35.0,long term,12,11,5,10,2
28,W,No education completed,Couple with children,1022,35.0,long term,6,14,2,10,2
68,W,Upper secondary or post-secondary education,Other type of household with children,3314,40.0,long term,12,12,4,8,2
35,W,Tertiary education,Couple with children,2106,36.0,long term,8,8,4,9,2
65,W,Tertiary education,Other type of household with children,3079,39.0,long term,13,12,4,10,2
29,M,Upper secondary or post-secondary education,Couple with children,1593,38.0,long term,5,9,1,10,3
34,W,Tertiary education,Other type of household with children,3968,45.0,long term,15,13,1,9,1
48,M,Upper secondary or post-secondary education,Couple with children,1419,20.0,long term,7,14,3,10,1
30,W,Tertiary education,Couple with children,1053,55.0,long term,12,4,4,8,2
53,W,Upper secondary or post-secondary education,Single adult without children,1666,35.0,long term,12,4,5,8,2
15,M,Upper secondary or post-secondary education,Couple without children,2415,39.0,long term,12,8,5,9,1
32,M,No education completed,Couple without children,3656,35.0,short term,10,2,4,7,4
35,M,No education completed,Single adult with children,2047,80.0,long term,12,2,4,7,4
29,W,Tertiary education,Other type of household with children,858,35.0,long term,10,3,4,8,2
71,M,Tertiary education,Single adult with children,1111,28.0,long term,8,8,4,9,8
26,M,Upper secondary or post-secondary education,Single adult without children,1990,21.0,long term,14,14,5,10,2
37,M,Tertiary education,Single adult without children,1434,35.0,short term,8,8,1,8,2
57,W,Upper secondary or post-secondary education,Single adult with children,2130,38.0,long term,8,13,4,7,3
67,M,Upper secondary or post-secondary education,Couple with children,2930,16.0,long term,10,3,4,9,1
54,W,Upper secondary or post-secondary education,Couple without children,1995,35.0,long term,6,8,4,9,2
49,W,Tertiary education,Other type of household with children,1159,35.0,long term,13,10,4,10,1
44,W,Upper secondary or post-secondary education,Single adult with children,2931,35.0,long term,4,2,3,9,4
71,W,No education completed,Other type of household with children,1005,35.0,long term,6,6,2,8,3
46,M,Tertiary education,Other type of household with children,3301,30.0,long term,12,4,4,8,2
57,M,Upper secondary or post-secondary education,Couple with children,1575,35.0,long term,8,8,1,8,2
43,M,Primary or lower secondary education,Other type of household with children,1615,35.0,long term,9,7,4,10,2
64,W,Upper secondary or post-secondary education,Other type of household without children,2485,16.0,short term,10,3,4,9,1
42,W,Tertiary education,Other type of household without children,893,45.0,long term,12,14,5,7,2
25,W,Tertiary education,Couple with children,4108,35.0,long term,11,6,4,8,2
45,W,Tertiary education,Single adult without children,1886,30.0,long term,6,3,3,9,2
58,W,No education completed,Single adult without children,2316,27.0,long term,11,9,3,9,3
30,W,Upper secondary or post-secondary education,Single adult without children,1413,39.0,long term,10,12,4,9,2
69,W,Upper secondary or post-secondary education,Couple with children,2260,42.0,long term,9,2,4,10,1
26,W,Tertiary education,Single adult without children,1669,39.0,long term,6,14,4,7,2
40,M,Tertiary education,Couple without children,2632,40.0,long term,13,8,5,10,1
29,M,No education completed,Other type of household without children,1440,28.0,long term,9,5,2,8,3
64,W,Tertiary education,Single adult without children,1430,50.0,short term,12,12,4,6,2
38,W,Tertiary education,Single adult without children,2952,27.0,long term,11,9,3,9,3
38,W,Tertiary education,Couple with children,2240,37.0,long term,10,8,5,9,2
73,M,Tertiary education,Single adult without children,4720,40.0,long term,6,11,3,7,3
29,W,Tertiary education,Single adult without children,1692,35.0,long term,13,10,5,8,3
47,W,Upper secondary or post-secondary education,Single adult with children,1710,45.0,long term,15,13,1,9,1
17,W,Tertiary education,Couple without children,1757,32.0,long term,12,10,5,9,2
74,W,Tertiary education,Couple without children,2144,32.0,long term,9,13,3,8,3
70,M,Upper secondary or post-secondary education,Other type of household without children,5222,35.0,long term,7,8,4,8,2
35,M,Upper secondary or post-secondary education,Single adult without children,2059,35.0,short term,11,11,4,8,3
69,W,Upper secondary or post-secondary education,Other type of household without children,2805,45.0,long term,8,5,3,9,1
49,M,Upper secondary or post-secondary education,Single adult with children,3479,40.0,long term,11,10,4,9,2
46,W,Primary or lower secondary education,Single adult with children,2393,30.0,long term,12,13,3,9,2
66,M,Upper secondary or post-secondary education,Single adult with children,6642,38.0,long term,10,14,5,10,1
74,M,No education completed,Other type of household with children,6627,36.0,long term,4,8,3,5,3
34,W,Primary or lower secondary education,Couple without children,764,35.0,long term,13,13,5,7,2
28,M,No education completed,Other type of household with children,1696,45.0,long term,8,4,4,8,2
40,W,No education completed,Couple without children,1151,40.0,short term,6,11,3,7,3
27,M,Upper secondary or post-secondary education,Other type of household with children,1106,35.0,long term,6,6,4,10,2
45,W,Upper secondary or post-secondary education,Single adult without children,5477,28.0,long term,12,12,4,9,2
36,M,Tertiary education,Single adult without children,1569,42.0,long term,6,5,4,8,2
34,M,Primary or lower secondary education,Couple with children,3499,48.0,long term,9,14,4,10,2
68,W,Upper secondary or post-secondary education,Single adult with children,2991,35.0,long term,9,9,4,10,2
40,M,Tertiary education,Other type of household without children,6259,39.0,long term,6,2,5,10,3
73,M,Tertiary education,Single adult without children,1252,30.0,long term,12,13,3,9,2
55,W,Upper secondary or post-secondary education,Couple with children,2447,40.0,long term,11,13,3,10,2
59,W,Upper secondary or post-secondary education,Other type of household without children,912,42.0,long term,11,12,4,10,1
56,M,Upper secondary or post-secondary education,Couple with children,3928,35.0,long term,13,13,5,7,2
38,W,Primary or lower secondary education,Single adult with children,2485,50.0,long term,4,4,3,5,3
38,M,Upper secondary or post-secondary education,Other type of household with children,2170,42.0,long term,10,2,4,10,2
68,M,No education completed,Single adult without children,3430,45.0,long term,10,10,1,8,2
45,M,Upper secondary or post-secondary education,Single adult with children,5855,40.0,long term,13,8,5,10,1
35,M,Upper secondary or post-secondary education,Other type of household without children,1229,10.0,long term,4,12,5,10,2
60,M,Primary or lower secondary education,Single adult with children,2763,35.0,long term,4,6,5,10,2
32,M,Upper secondary or post-secondary education,Other type of household with children,2026,20.0,long term,7,5,5,9,2
32,M,Primary or lower secondary education,Other type of household without children,2456,42.0,long term,9,2,4,10,1
71,W,Primary or lower secondary education,Other type of household with children,1653,45.0,long term,12,4,4,8,2
44,W,No education completed,Single adult without children,862,45.0,long term,12,11,3,8,2
62,W,Tertiary education,Couple without children,2364,55.0,long term,11,3,4,7,4
39,W,Tertiary education,Other type of household without children,1587,14.0,short term,14,14,5,10,1
45,M,Upper secondary or post-secondary education,Other type of household without children,711,35.0,long term,10,11,4,8,2
39,W,Upper secondary or post-secondary education,Other type of household without children,1775,35.0,long term,13,11,3,10,2
61,W,Upper secondary or post-secondary education,Other type of household with children,1090,35.0,long term,12,4,4,10,3
51,M,Upper secondary or post-secondary education,Other type of household with children,1596,40.0,long term,6,9,4,8,2
35,W,Tertiary education,Single adult without children,897,37.0,long term,3,2,3,10,3
72,M,Upper secondary or post-secondary education,Other type of household without children,976,35.0,long term,3,4,4,7,3
54,W,Upper secondary or post-secondary education,Single adult without children,3080,30.0,short term,8,13,4,9,2
41,W,Tertiary education,Couple with children,951,35.0,long term,13,8,4,10,2
32,W,Upper secondary or post-secondary education,Single adult without children,2340,35.0,long term,10,14,3,9,2
25,M,Tertiary education,Other type of household without children,1906,35.0,long term,7,11,4,9,1
49,W,Tertiary education,Other type of household with children,1553,39.0,long term,12,9,4,8,2
63,M,No education completed,Other type of household without children,4841,39.0,long term,9,11,5,9,2
34,M,No education completed,Single adult without children,1667,37.0,long term,11,14,5,10,2
37,W,Tertiary education,Couple without children,1233,45.0,long term,9,3,4,10,4
62,M,Upper secondary or post-secondary education,Other type of household without children,1375,35.0,long term,6,14,5,8,2
58,W,Primary or lower secondary education,Other type of household with children,969,39.0,long term,15,2,5,10,1
32,W,Tertiary education,Other type of household with children,1342,35.0,long term,7,12,4,9,2
65,W,Upper secondary or post-secondary education,Couple without children,2316,40.0,long term,5,2,5,10,3
48,W,Tertiary education,Couple with children,3491,35.0,long term,7,4,3,8,2
49,M,Primary or lower secondary education,Couple without children,1085,40.0,long term,8,9,3,8,2
33,M,Upper secondary or post-secondary education,Other type of household with children,2739,39.0,long term,9,8,4,9,2
30,W,Upper secondary or post-secondary education,Couple with children,1228,37.0,long term,11,14,5,10,2
35,M,Tertiary education,Single adult without children,3425,35.0,long term,9,8,4,9,3
48,M,Tertiary education,Couple with children,806,36.0,long term,13,11,4,6,4
35,W,Upper secondary or post-secondary education,Single adult without children,704,55.0,long term,12,4,4,8,2
74,M,Tertiary education,Other type of household with children,5308,40.0,long term,15,12,2,8,2
66,W,Tertiary education,Other type of household with children,2024,30.0,long term,9,10,3,5,4
25,W,Tertiary education,Single adult without children,1810,35.0,long term,6,5,5,8,2
43,M,Tertiary education,Single adult with children,1901,35.0,long term,12,11,4,8,1
24,M,Upper secondary or post-secondary education,Other type of household with children,1218,50.0,long term,12,11,4,8,2
34,W,No education completed,Single adult without children,2897,34.0,long term,3,3,1,7,2
27,W,Tertiary education,Couple with children,1590,35.0,long term,11,12,4,7,2
45,M,Tertiary education,Other type of household without children,3337,35.0,long term,8,4,4,10,3
17,M,Upper secondary or post-secondary education,Other type of household with children,2956,40.0,long term,10,14,4,9,2
69,W,Upper secondary or post-secondary education,Couple with children,4374,35.0,long term,9,9,2,10,3
26,M,Tertiary education,Single adult without children,3090,42.0,long term,10,8,5,8,2
27,M,Primary or lower secondary education,Couple without children,1162,35.0,long term,12,9,4,8,2
72,W,No education completed,Single adult with children,4546,45.0,long term,14,3,5,10,2
27,W,Tertiary education,Couple without children,2621,39.0,long term,12,10,5,9,3
33,W,Upper secondary or post-secondary education,Other type of household without children,3042,60.0,long term,6,4,5,10,2
51,M,Upper secondary or post-secondary education,Couple without children,5340,41.0,long term,9,4,4,9,2
39,M,Upper secondary or post-secondary education,Other type of household with children,3951,39.0,long term,14,10,5,10,1
47,W,Upper secondary or post-secondary education,Couple without children,1685,30.0,long term,8,10,4,7,2
40,M,No education completed,Other type of household with children,1279,45.0,long term,10,13,3,10,2
69,W,Upper secondary or post-secondary education,Other type of household without children,2019,35.0,long term,6,6,4,10,2
44,W,Upper secondary or post-secondary education,Couple with children,2076,17.0,short term,7,5,4,8,1
26,W,No education completed,Other type of household without children,1280,37.0,long term,9,11,5,9,2
51,M,Primary or lower secondary education,Couple with children,1017,40.0,long term,5,2,1,6,4
74,M,Upper secondary or post-secondary education,Other type of household with children,2062,37.0,long term,7,6,4,9,2
44,M,No education completed,Couple with children,5151,35.0,long term,3,7,3,2,3
40,W,Tertiary education,Other type of household with children,1675,38.0,long term,7,11,5,8,2
28,M,Upper secondary or post-secondary education,Other type of household without children,3289,32.0,long term,9,11,5,9,1
57,M,Upper secondary or post-secondary education,Other type of household without children,1718,35.0,long term,11,9,5,10,2
40,W,Tertiary education,Couple with children,2794,28.0,long term,12,3,4,8,1
72,W,Tertiary education,Single adult without children,5242,35.0,long term,10,8,4,8,2
52,M,Tertiary education,Couple without children,737,35.0,long term,3,10,4,9,2
35,M,No education completed,Couple with children,3527,38.0,long term,15,2,5,8,2
36,W,Tertiary education,Single adult without children,1261,24.0,long term,4,7,1,9,3
18,M,Tertiary education,Couple with children,612,40.0,long term,10,10,3,8,2
55,M,Upper secondary or post-secondary education,Single adult with children,2729,26.0,long term,4,8,4,10,3
34,M,Tertiary education,Couple with children,3031,40.0,long term,14,12,5,5,3
63,W,Upper secondary or post-secondary education,Couple with children,2991,38.0,long term,10,10,4,8,2
55,M,Tertiary education,Couple with children,1190,35.0,long term,13,14,4,9,1
37,W,Tertiary education,Other type of household with children,2185,35.0,long term,9,9,1,10,2
72,M,Primary or lower secondary education,Single adult with children,5929,35.0,long term,7,4,2,7,3
59,W,Primary or lower secondary education,Other type of household with children,880,40.0,long term,13,4,4,8,1
23,M,Tertiary education,Couple with children,1327,35.0,long term,6,6,4,10,2
41,M,Tertiary education,Couple without children,1241,35.0,long term,9,10,5,8,2
30,M,Tertiary education,Couple with children,4004,25.0,long term,8,14,4,8,2
35,W,Tertiary education,Other type of household with children,2718,35.0,long term,9,9,2,7,3
31,M,Tertiary education,Single adult with children,1874,50.0,long term,12,11,4,6,2
35,M,Tertiary education,Couple with children,2208,36.0,long term,9,4,3,8,3
55,W,No education completed,Single adult with children,1539,48.0,long term,9,14,4,10,2
25,M,Upper secondary or post-secondary education,Other type of household without children,1895,35.0,long term,10,9,3,9,3
47,M,Upper secondary or post-secondary education,Other type of household with children,2840,40.0,long term,6,12,4,9,2
42,M,Tertiary education,Other type of household without children,2673,35.0,long term,7,6,4,9,2
39,M,Tertiary education,Other type of household without children,1959,36.0,long term,6,8,3,7,2
28,M,Upper secondary or post-secondary education,Other type of household with children,1505,15.0,long term,9,8,2,10,2
40,M,Tertiary education,Single adult with children,1407,35.0,long term,10,5,5,9,2
32,M,Tertiary education,Couple with children,6640,35.0,long term,7,11,4,8,2
36,M,Upper secondary or post-secondary education,Couple with children,1108,35.0,long term,6,7,3,8,2
44,W,Tertiary education,Couple without children,3026,35.0,long term,10,2,4,10,2
27,M,Upper secondary or post-secondary education,Couple without children,810,37.0,long term,12,13,5,10,3
65,M,Tertiary education,Single adult with children,1577,37.0,long term,10,11,5,8,1
46,M,Tertiary education,Couple without children,1071,35.0,long term,11,2,3,8,2
44,M,Tertiary education,Single adult with children,2351,48.0,long term,10,6,4,6,2
43,M,Tertiary education,Single adult without children,2941,40.0,short term,9,11,4,6,2
28,W,Upper secondary or post-secondary education,Couple with children,1273,50.0,long term,12,9,5,8,1
48,W,Tertiary education,Couple with children,2050,8.0,long term,11,12,3,8,2
58,W,Upper secondary or post-secondary education,Couple without children,1473,50.0,short term,9,14,4,8,2
66,W,Upper secondary or post-secondary education,Other type of household without children,6436,35.0,long term,12,4,4,10,3
41,M,No education completed,Single adult without children,2489,17.0,long term,12,14,4,8,1
65,M,Upper secondary or post-secondary education,Single adult without children,3156,45.0,long term,13,7,5,7,2
18,W,Upper secondary or post-secondary education,Other type of household without children,1736,10.0,long term,11,8,3,8,2
56,M,Tertiary education,Couple with children,1490,26.0,long term,10,12,5,9,2
40,M,Upper secondary or post-secondary education,Other type of household with children,1407,35.0,short term,11,9,5,10,2
36,W,No education completed,Single adult with children,1387,33.0,long term,10,14,4,9,1
40,W,Upper secondary or post-secondary education,Single adult without children,1303,35.0,long term,10,10,4,8,1
30,W,Tertiary education,Single adult without children,1094,35.0,long term,10,14,4,7,2
31,W,Tertiary education,Other type of household without children,885,35.0,long term,3,4,3,10,2
46,M,Tertiary education,Couple without children,979,35.0,long term,11,4,2,10,2
35,W,Tertiary education,Couple without children,887,45.0,long term,3,6,2,9,2
37,W,Primary or lower secondary education,Other type of household without children,3405,37.0,long term,14,14,5,10,1
36,W,Upper secondary or post-secondary education,Single adult without children,2029,35.0,long term,10,5,4,10,1
40,M,Upper secondary or post-secondary education,Couple with children,1844,35.0,long term,8,10,4,9,2
27,W,Tertiary education,Single adult without children,1783,39.0,long term,7,5,3,9,3
26,M,Primary or lower secondary education,Couple without children,1722,30.0,short term,13,12,5,9,2
40,M,No education completed,Couple without children,2719,43.0,long term,14,2,5,10,2
71,M,Primary or lower secondary education,Single adult with children,1805,35.0,long term,8,12,5,10,2
43,M,Upper secondary or post-secondary education,Couple with children,1296,7.0,long term,8,12,4,10,2
32,M,Upper secondary or post-secondary education,Other type of household with children,1790,37.0,long term,11,11,5,6,2
40,W,Tertiary education,Couple with children,1659,35.0,long term,15,2,5,10,2
49,W,Upper secondary or post-secondary education,Other type of household without children,1402,40.0,long term,6,5,3,8,2
43,M,Tertiary education,Couple with children,4815,35.0,long term,3,7,3,2,3
45,W,Upper secondary or post-secondary education,Single adult without children,2046,48.0,long term,9,6,4,8,2
64,W,Upper secondary or post-secondary education,Single adult with children,1504,35.0,long term,8,10,4,8,1
61,W,Upper secondary or post-secondary education,Couple without children,2323,35.0,long term,7,4,3,9,2
28,M,Upper secondary or post-secondary education,Other type of household with children,1064,38.0,long term,7,9,3,8,3
67,W,Tertiary education,Single adult without children,1423,39.0,long term,6,14,4,7,2
65,W,Primary or lower secondary education,Other type of household without children,2940,37.0,long term,9,9,4,8,1
26,W,Tertiary education,Couple without children,1624,37.0,long term,10,11,5,8,1
27,M,Tertiary education,Other type of household with children,1266,40.0,long term,6,12,4,9,2
56,M,Primary or lower secondary education,Other type of household with children,2533,35.0,long term,7,8,2,9,2
29,W,Tertiary education,Couple without children,1712,38.0,long term,8,10,5,8,1
44,M,Upper secondary or post-secondary education,Single adult without children,1767,35.0,long term,12,8,4,10,1
23,W,Upper secondary or post-secondary education,Other type of household without children,2645,40.0,long term,12,10,3,6,2
31,M,Tertiary education,Single adult without children,1338,28.0,long term,12,3,4,8,1
24,W,Primary or lower secondary education,Other type of household with children,1913,40.0,long term,11,4,3,9,2
38,M,Upper secondary or post-secondary education,Other type of household with children,3548,35.0,long term,10,4,4,8,2
44,W,Tertiary education,Single adult without children,1946,39.0,long term,6,2,5,10,3
44,M,Tertiary education,Other type of household without children,2072,35.0,long term,3,7,3,2,3
40,M,Tertiary education,Single adult without children,1947,50.0,long term,8,6,3,8,3
29,M,Primary or lower secondary education,Other type of household with children,1080,45.0,long term,9,5,2,8,2
